SUPPLY_ID,LATITUDE,LONGITUDE
1542,38.0325332,23.8356334
187,38.0374707,23.6978864
505,40.320311,23.0661894
318,37.9837928,23.7629689
1483,38.0078815,23.7904125
1408,37.9354635,23.7280559
1953,39.670496,20.8433832
858,38.4554672,22.8825938
1653,38.0413838,23.8031774
741,39.367557,22.9463704
118,37.9669567,23.746057
1537,38.0722402,23.8139199
1517,38.3346273,23.7408956
1044,35.3285686,25.0718277
326,40.6349904,22.9519038
530,38.2478916,21.7361885
1352,37.9722528,23.6463577
1200,37.8838731,23.759146
174,38.030062,23.7082108
401,40.5745629,22.9465596
351,40.6382241,22.9607032
1673,38.0192869,23.7520535
1714,37.9106901,24.0177053
1927,38.7375342,20.7182064
1535,38.0325332,23.8356334
1886,38.6109481,21.3769891
74,38.0296284,23.6949815
186,38.0296284,23.6949815
1230,37.9617869,23.7513958
1374,37.9469456,23.6877713
524,38.2397453,21.7307875
1411,37.9545807,23.7383143
620,37.5842718,22.8463007
56,38.0104638,23.7007324
438,40.61703199999999,22.9742355
233,37.9615539,23.743914
207,37.997718,23.6739508
656,37.4813502,22.4376627
295,38.0296284,23.6949815
1321,37.9531249,23.6816363
1942,39.6684968,20.8530123
885,38.3980277,22.6258244
601,37.9292536,23.1270995
133,37.99106640000001,23.7243818
1693,38.0375283,23.5442699
652,37.4813502,22.4376627
639,39.074208,21.824312
995,35.697871,27.1894722
73,37.997718,23.6739508
494,40.4235811,22.9571629
854,38.5679273,23.2575568
536,38.1640464,21.8343074
1079,37.9505331,23.7347983
1856,40.1849645,21.9986237
859,38.4554672,22.8825938
1590,38.0178806,23.9979811
1060,35.2230333,25.7221123
1790,41.126455,24.1181856
124,37.9976709,23.7172408
1316,37.9230902,23.7006936
1896,38.5331578,21.0763488
182,38.030062,23.7082108
1393,37.827508,23.8069065
1530,38.0078815,23.7904125
681,37.7636881,21.305706
1821,40.9715178,22.0586722
157,37.997718,23.6739508
567,38.22376260000001,21.7549156
397,41.0195054,22.5371552
115,37.9976709,23.7172408
964,39.92851599999999,25.3626994
407,40.5849639,22.9460941
410,40.5751549,22.9699237
1869,40.8048828,21.5278364
1092,37.96452,23.5679726
1193,37.9461725,23.6782811
1716,37.9537757,23.8559055
1686,38.0236403,23.7327993
1578,38.0722918,23.5113752
1730,40.8551059,25.7417761
1127,37.8640519,23.7454264
630,37.5582223,22.7068588
674,37.6724114,21.3554414
1476,38.02236449999999,23.7360857
1427,38.0325332,23.8356334
172,38.0378644,23.6871983
1468,38.0192869,23.7520535
1718,37.8711517,24.0088892
603,37.90134219999999,22.7748002
848,38.8350995,22.4103948
1448,38.0409479,23.749679
1292,37.9228947,23.7410981
903,38.43206380000001,22.4244452
1636,38.0511604,23.7680577
525,38.2371702,21.7364005
1703,37.7375886,23.941751
18,37.9910674,23.6707902
156,37.9894728,23.6789292
1539,38.0293616,23.7329608
1670,38.0722402,23.8139199
1125,37.9376968,23.7493748
161,38.030062,23.7082108
386,40.7404458,23.0618913
1922,39.086023,20.7003268
1461,38.2535213,23.7130174
216,38.0142141,23.6545055
1240,37.9289902,23.7529947
400,41.0195054,22.5371552
1261,37.9228947,23.7410981
105,37.976591,23.7649908
330,40.6762832,22.9433501
1300,37.9354635,23.7280559
1330,37.9368069,23.6360172
188,38.0226558,23.6880042
1895,38.381272,21.453899
927,38.5984693,23.5334726
1936,39.6650134,20.8518098
1621,38.0606121,23.8566786
627,37.5582223,22.7068588
1001,36.8755596,27.2864059
1471,38.0354686,23.8511229
1238,37.8640519,23.7454264
1696,38.0073436,23.4286356
1244,37.925862,23.7119251
1162,37.9768566,23.6532208
1344,37.9747181,23.6385387
1295,37.8953537,23.744783
1367,37.9394745,23.713473
946,38.5984693,23.5334726
1638,38.0472708,23.7714547
183,38.0378644,23.6871983
582,37.997718,23.6739508
1349,37.9768566,23.6532208
532,38.2397453,21.7307875
280,37.9959426,23.6830046
611,38.0737742,22.6338975
1937,39.670496,20.8433832
831,39.3587974,21.9415165
1399,37.8640519,23.7454264
713,37.0733065,22.4289933
1340,37.9578297,23.6372814
255,38.0021175,23.7133553
1034,35.3272623,25.1299487
75,37.99080960000001,23.7450911
1872,38.3691981,20.6983292
610,38.0737742,22.6338975
26,38.0724807,23.7470526
1929,39.7790967,21.1854813
962,37.7505462,24.9466603
654,37.5096587,22.3705789
1189,37.9703784,23.4636342
465,40.5745629,22.9465596
883,38.3980277,22.6258244
937,38.4109234,23.5490415
1618,38.0090986,23.8242985
1148,37.9768566,23.6532208
277,37.9959426,23.6830046
104,38.0034352,23.727173
292,38.0374707,23.6978864
819,39.6993346,21.6335186
36,37.98049640000001,23.7561153
240,37.976591,23.7649908
425,40.5992628,22.9594498
703,37.0802026,22.166867
334,40.628504,22.9507099
1593,37.7905679,23.8908039
380,40.8028808,22.6165554
890,38.4115377,22.6760481
1021,35.3275708,24.5005038
565,38.2207737,21.7366312
1813,41.2691594,23.2307693
78,37.976591,23.7649908
1947,39.6650134,20.8518098
200,37.997718,23.6739508
1062,35.2230333,25.7221123
915,38.3771824,23.1066044
1875,38.1574196,20.490023
175,39.074208,21.824312
694,37.0802026,22.166867
1053,35.2909657,25.4583194
712,37.1413452,21.6121109
701,37.0076532,21.9537603
934,38.3380448,23.6202585
1536,38.0209656,23.73545
1807,41.0820427,23.4617028
1229,37.9304396,23.7581088
1562,38.0169141,23.7552966
1249,37.9505331,23.7347983
1048,35.3386998,25.1577575
1000,36.8755596,27.2864059
1103,37.9394745,23.713473
625,37.6456561,22.8146169
1604,38.020741,23.7959223
303,38.0724807,23.7470526
1707,37.9106901,24.0177053
1727,40.8551059,25.7417761
314,37.9748045,23.7751799
377,40.7137773,22.9283587
1640,38.1035092,23.8374452
900,38.4554672,22.8825938
553,38.2794669,21.7521278
440,40.5849639,22.9460941
1258,37.9230902,23.7006936
1968,39.7627551,19.8186982
170,38.0368388,23.7276852
987,38.3591314,26.0650307
278,37.9910674,23.6707902
528,38.2407373,21.7461882
205,38.0617317,23.7126572
1575,38.0544115,23.8345925
1823,40.5115162,22.2148981
1770,40.935216,24.3995818
653,37.5096587,22.3705789
430,40.5026766,22.9169454
1185,37.9701669,23.6153528
1173,37.9522979,23.6518792
1414,37.9354635,23.7280559
917,38.322432,23.162499
1729,40.8551059,25.7417761
439,40.6120795,22.9831264
1137,37.9698532,23.6985909
1023,39.074208,21.824312
851,39.074208,21.824312
270,38.0054558,23.6915065
572,38.2478916,21.7361885
76,37.9802052,23.7680259
884,38.3980277,22.6258244
986,38.3591314,26.0650307
1275,37.9606327,23.7125466
1124,37.9534151,23.6595153
1760,41.1182687,24.9223683
1672,38.0722402,23.8139199
1513,38.0524345,23.8199058
956,37.7408815,23.5014213
981,39.1897595,26.4924366
1156,37.9768566,23.6532208
1006,35.5115215,24.0188242
136,37.9901469,23.7120368
928,38.4109234,23.5490415
1828,40.5115162,22.2148981
374,40.6099673,22.9568021
893,38.4554672,22.8825938
935,38.5984693,23.5334726
519,40.39709879999999,23.7870822
1223,37.9629218,23.7194449
42,37.9907104,23.7632924
905,38.5020866,22.5734992
1740,41.6112694,26.431192
1773,40.935216,24.3995818
89,37.9817943,23.7170039
180,38.0617317,23.7126572
1677,38.0395949,23.7606018
1629,38.0354686,23.8511229
84,37.9669567,23.746057
1531,38.0602,23.7920834
948,38.7387524,23.5014213
742,39.367557,22.9463704
1755,41.1145301,25.4112679
1765,41.1182687,24.9223683
1370,37.9364001,23.7009019
499,40.3023916,23.4208353
1643,38.0673903,23.7813182
344,40.6455525,23.0118975
28,37.9837928,23.7629689
1623,38.024942,23.79748
549,38.1640464,21.8343074
220,38.0226558,23.6880042
542,38.2763143,21.7636574
778,39.7358476,22.2304775
120,37.9897207,23.7651761
1390,37.8640519,23.7454264
1614,38.0265707,23.8198045
1652,38.0512581,23.8021097
769,39.1284576,22.9082801
300,38.0296284,23.6949815
191,38.0054558,23.6915065
345,40.6455525,23.0118975
1930,39.55425049999999,20.9196716
463,40.5745629,22.9465596
1870,40.43832889999999,21.2498268
1932,39.55425049999999,20.9196716
843,38.8350995,22.4103948
1661,38.0569782,23.8006143
531,38.1579944,21.6592255
1900,38.3946867,21.8333976
437,40.60212569999999,22.9727602
785,39.5524047,22.4303582
403,40.6023563,22.9659855
168,38.0146322,23.7053501
1882,37.7859361,20.8672131
12,38.0039437,23.742903
608,38.0737742,22.6338975
